sample_index_202,sample_uid,timestamp,sample_time,latitude,longitude,depth_m,station,sample,source_file,match_status,hplc_repository_url
1,paceera_agg|130,20240625T18:50:00,2024-06-25T18:50:00,34.349,-119.85200000000002,0.5,1_1,SM001-1|SM001-2|SM001-3,888602302f_PVST_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
2,paceera_agg|131,20240705T18:02:00,2024-07-05T18:02:00,34.3049,-119.717,0.5,2_2,SM002-1|SM002-2|SM002-3,888602302f_PVST_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
3,paceera_agg|132,20240705T18:33:00,2024-07-05T18:33:00,34.2938,-119.676,0.5,2_3,SM003-1|SM003-2|SM003-3,888602302f_PVST_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
4,paceera_agg|9,20240905T20:05:00,2024-09-05T20:05:00,34.3107,-119.769,0.5,3_4,SM004-1|SM004-2|SM004-3,2d6043f9f9_PACE-PAX_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
5,paceera_agg|10,20240905T20:55:00,2024-09-05T20:55:00,34.3399,-119.7063,0.5,3_5,SM005-1|SM005-2|SM005-3,2d6043f9f9_PACE-PAX_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
6,paceera_agg|148,20240906T18:45:00,2024-09-06T18:45:00,33.5623,-118.1197,0.5,1,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
7,paceera_agg|149,20240906T20:51:00,2024-09-06T20:51:00,33.5623,-118.1197,0.5,2,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
8,paceera_agg|38,20240906T21:01:00,2024-09-06T21:01:00,34.2211,-119.6837,0.0,1,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
9,paceera_agg|150,20240906T22:15:00,2024-09-06T22:15:00,33.5687,-118.116,0.5,3,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
10,paceera_agg|57,20240908T16:56:00,2024-09-08T16:56:00,34.3095,-119.7333,0.0,3,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
11,paceera_agg|151,20240908T18:31:00,2024-09-08T18:31:00,33.5623,-118.1197,0.5,4,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
12,paceera_agg|59,20240908T19:10:00,2024-09-08T19:10:00,34.3684,-120.0261,0.0,4,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
13,paceera_agg|152,20240908T20:26:00,2024-09-08T20:26:00,33.5623,-118.1197,0.5,5,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
