sample_index_202,sample_uid,timestamp,sample_time,latitude,longitude,match_status,pace_match_status,scene_region,scene_id,scene_file,scene_time,image_path,repository_relative_path,pace_repository_url,time_delta_hours,abs_time_delta_hours,pixel_center_latitude,pixel_center_longitude,point_to_pixel_center_km,valid_spectrum
1,paceera_agg|130,20240625T18:50:00,2024-06-25T18:50:00,34.349,-119.85200000000002,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240625T205619,PACE_OCI.20240625T205619.V3_L2_Rrs_L2GEN_MTS.tiff,2024-06-25T20:56:19,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240625T205619.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240625T205619.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,2.105277777777778,2.105277777777778,34.3477836934224,-119.84637065461396,0.5342067344953206,True
2,paceera_agg|131,20240705T18:02:00,2024-07-05T18:02:00,34.3049,-119.717,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240705T200953,PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,2024-07-05T20:09:53,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,2.131388888888889,2.131388888888889,34.299359342478255,-119.7240219259576,0.8919652670327152,True
3,paceera_agg|132,20240705T18:33:00,2024-07-05T18:33:00,34.2938,-119.676,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240705T200953,PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,2024-07-05T20:09:53,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240705T200953.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,1.6147222222222222,1.6147222222222222,34.299359342478255,-119.68070235724228,0.7541429308087679,True
4,paceera_agg|9,20240905T20:05:00,2024-09-05T20:05:00,34.3107,-119.769,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240905T195241,PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-05T19:52:41,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-0.2052777777777777,0.2052777777777777,34.314843478141945,-119.7726254711288,0.568463367705895,True
5,paceera_agg|10,20240905T20:55:00,2024-09-05T20:55:00,34.3399,-119.7063,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240905T195241,PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-05T19:52:41,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240905T195241.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-1.0386111111111112,1.0386111111111112,34.33271075455344,-119.70115636548284,0.9284948582793254,True
6,paceera_agg|148,20240906T18:45:00,2024-09-06T18:45:00,33.5623,-118.1197,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240906T202704,PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-06T20:27:04,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,1.701111111111111,1.701111111111111,33.56527300417603,-118.11675584624712,0.4286036575192043,True
7,paceera_agg|149,20240906T20:51:00,2024-09-06T20:51:00,33.5623,-118.1197,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240906T202704,PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-06T20:27:04,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-0.3988888888888889,0.3988888888888889,33.56527300417603,-118.11675584624712,0.4286036575192043,True
8,paceera_agg|38,20240906T21:01:00,2024-09-06T21:01:00,34.2211,-119.6837,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240906T202704,PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-06T20:27:04,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-0.5655555555555556,0.5655555555555556,34.22585956422279,-119.68130296214734,0.573293845142532,True
9,paceera_agg|150,20240906T22:15:00,2024-09-06T22:15:00,33.5687,-118.116,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240906T202704,PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-06T20:27:04,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-1.798888888888889,1.798888888888889,33.56527300417603,-118.11675584624712,0.3874466487581014,True
10,paceera_agg|57,20240908T16:56:00,2024-09-08T16:56:00,34.3095,-119.7333,matched,matched_to_pace_scene,R1_SoCal_SBC,PACE_OCI.20240906T202704,PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,2024-09-06T20:27:04,E:\Rrs\R1_SoCal_SBC\PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,Rrs/R1_SoCal_SBC/PACE_OCI.20240906T202704.V3_L2_Rrs_L2GEN_MTS.tiff,<PACE_IMAGE_REPOSITORY_URL>,-44.48222222222222,44.48222222222222,34.30698422949169,-119.72765991372958,0.5887419532021831,True
