sample_uid,sample_type,regime_name,dominant_pft,co_dominant_pft,dominant_margin,fraction_entropy,decomposition_allowed_soft,decomposition_allowed_hard,composition_vs_nuisance_ratio,jacobian_condition_number,split
synthetic_ident_v2_0000000,transition_hard_negative,transition,diatoms,prochlorococcus,0.4369271468256114,0.6108384487329805,0.4555770353864536,0,0.0571679551964297,9.138869886484803,train
synthetic_ident_v2_0000001,clear_hard_pair,clear,prochlorococcus,prokaryotes,0.0094355561543726,0.5484182931350299,0.0301170508165068,0,0.0,1655459349295.725,train
synthetic_ident_v2_0000002,transition_hard_negative,transition,prochlorococcus,pelagophytes,0.0737857238660811,0.8199159577253202,0.0648334509598534,0,0.1222919404059851,20.697432515448977,train
synthetic_ident_v2_0000003,low_margin,clear,prochlorococcus,green_algae,0.1129735034102223,0.6491098709264739,0.9636781378816184,1,0.491551936508622,50.74129069419353,train
synthetic_ident_v2_0000004,coastal_hard_negative,coastal,green_algae,prokaryotes,0.2361876372594979,0.7500491215438669,0.1485056520725981,0,0.1220574045249686,14.298018142645436,train
synthetic_ident_v2_0000005,clear_feasible,clear,green_algae,pelagophytes,0.6480662716428954,0.4644518098012453,0.969991218247264,1,0.1290533753995237,20.631772164052062,train
synthetic_ident_v2_0000006,clear_ambiguous,clear,diatoms,pelagophytes,0.0302743780909493,0.5691748484219712,0.6861233629763317,1,0.5976993616017452,61.43185380888698,test
synthetic_ident_v2_0000007,clear_feasible,clear,prochlorococcus,cryptophytes,0.7716558841548016,0.3818704765330871,0.969991256360631,1,0.63452573940313,36.70738357694162,val
synthetic_ident_v2_0000008,coastal_hard_negative,coastal,prochlorococcus,diatoms,0.0859197595951427,0.8461241543193182,0.0204206475518079,0,0.0173874061578872,11.70773327973718,train
synthetic_ident_v2_0000009,clear_hard_pair,clear,pelagophytes,cryptophytes,0.4006302451101625,0.4928890300092456,0.9267280452755512,1,0.0844714883565467,130.12733070690928,train
synthetic_ident_v2_0000010,low_margin,clear,green_algae,diatoms,0.1463969561273774,0.6230676438829341,0.8644810513742375,1,0.7084762725723377,54.5066204430886,test
synthetic_ident_v2_0000011,clear_ambiguous,clear,diatoms,prokaryotes,0.041386625567907,0.6371891316474239,0.6787893087860626,1,0.1940860169158406,12.806937617230622,train
synthetic_ident_v2_0000012,clear_feasible,clear,dinoflagellates,cryptophytes,0.6547848715080735,0.5122165701035354,0.969515049567837,1,0.246684111002429,32.8045208950319,val
synthetic_ident_v2_0000013,transition_hard_negative,transition,prochlorococcus,pelagophytes,0.1222444651960491,0.8170986934351819,0.1228619537839988,0,0.1729858957634489,27.21621070364928,train
synthetic_ident_v2_0000014,clear_feasible,clear,dinoflagellates,cryptophytes,0.7645154663995397,0.3933475598030373,0.9698478223153852,1,0.3744363796356709,31.37859585668333,train
synthetic_ident_v2_0000015,transition_hard_negative,transition,cryptophytes,prokaryotes,0.2644992969233083,0.7641603339842593,0.5750269153804974,1,0.2888533093394787,14.773144108688244,train
